	time	range_hot	range_hot_high	range_hot_low	range_cold	range_cold_high	range_cold_low
0	2000	77.0	77.0	77.0	67.0	67.0	67.0
1	2002	77.0	77.0	77.0	67.0	67.0	67.0
2	2004	77.0	78.0	77.0	67.0	67.0	66.0
3	2006	78.0	78.0	77.0	66.0	66.0	66.0
4	2008	78.0	78.0	78.0	66.0	66.0	66.0
5	2010	78.0	78.0	78.0	66.0	66.0	66.0
6	2012	78.0	78.0	78.0	66.0	66.0	66.0
7	2014	78.0	78.0	78.0	66.0	66.0	66.0
8	2016	78.0	78.0	78.0	66.0	66.0	66.0
9	2018	78.0	78.0	78.0	66.0	66.0	66.0
10	2020	78.0	78.0	78.0	66.0	66.0	65.0
11	2022	78.0	79.0	78.0	65.0	66.0	65.0
12	2024	78.0	79.0	78.0	65.0	66.0	65.0
13	2026	79.0	79.0	78.0	65.0	66.0	65.0
14	2028	79.0	79.0	78.0	65.0	65.0	65.0
15	2030	79.0	79.0	79.0	65.0	65.0	65.0
16	2032	79.0	79.0	79.0	65.0	65.0	65.0
17	2034	79.0	79.0	79.0	65.0	65.0	65.0
18	2036	79.0	79.0	79.0	65.0	65.0	65.0
19	2038	79.0	79.0	79.0	65.0	65.0	65.0
20	2040	79.0	80.0	79.0	65.0	65.0	64.0
21	2042	79.0	80.0	79.0	65.0	65.0	64.0
22	2044	80.0	80.0	79.0	64.0	65.0	64.0
23	2046	80.0	80.0	79.0	64.0	65.0	64.0
24	2048	80.0	80.0	79.0	64.0	65.0	64.0
25	2050	80.0	80.0	79.0	64.0	64.0	64.0
26	2052	80.0	80.0	80.0	64.0	64.0	64.0
27	2054	80.0	80.0	80.0	64.0	64.0	64.0
28	2056	80.0	80.0	80.0	64.0	64.0	64.0
29	2058	80.0	80.0	80.0	64.0	64.0	63.0
30	2060	80.0	81.0	80.0	64.0	64.0	63.0
31	2062	80.0	81.0	80.0	63.5	64.0	63.0
32	2064	80.0	81.0	80.0	63.0	64.0	63.0
33	2066	80.5	81.0	80.0	63.0	64.0	63.0
34	2068	81.0	81.0	80.0	63.0	64.0	63.0
35	2070	81.0	81.0	80.0	63.0	63.0	63.0
36	2072	81.0	81.0	80.0	63.0	63.0	63.0
37	2074	81.0	81.0	81.0	63.0	63.0	63.0
38	2076	81.0	81.0	81.0	63.0	63.0	63.0
39	2078	81.0	82.0	81.0	63.0	63.0	62.0
40	2080	81.0	82.0	81.0	63.0	63.0	62.0
41	2082	81.0	82.0	81.0	63.0	63.0	62.0
42	2084	81.0	82.0	81.0	63.0	63.0	62.0
43	2086	81.0	82.0	81.0	62.0	63.0	62.0
44	2088	81.0	82.0	81.0	62.0	63.0	62.0
45	2090	82.0	82.0	81.0	62.0	63.0	62.0
46	2092	82.0	82.0	81.0	62.0	63.0	62.0
47	2094	82.0	82.0	81.0	62.0	62.0	62.0
48	2096	82.0	82.0	81.0	62.0	62.0	62.0
49	2098	82.0	82.0	81.0	62.0	62.0	61.75
50	2100	82.0	83.0	82.0	62.0	62.0	61.0
51	2102	82.0	83.0	82.0	62.0	62.0	61.0
52	2104	82.0	83.0	82.0	62.0	62.0	61.0
53	2106	82.0	83.0	82.0	62.0	62.0	61.0
54	2108	82.0	83.0	82.0	61.0	62.0	61.0
55	2110	82.5	83.0	82.0	61.0	62.0	61.0
56	2112	83.0	83.0	82.0	61.0	62.0	61.0
57	2114	83.0	83.0	82.0	61.0	62.0	61.0
58	2116	83.0	83.0	82.0	61.0	61.0	61.0
59	2118	83.0	83.0	82.0	61.0	61.0	61.0
60	2120	83.0	83.0	82.0	61.0	61.0	61.0
61	2122	83.0	83.0	83.0	61.0	61.0	60.0
62	2124	83.0	84.0	83.0	61.0	61.0	60.0
63	2126	83.0	84.0	83.0	61.0	61.0	60.0
64	2128	83.0	84.0	83.0	61.0	61.0	60.0
65	2130	83.0	84.0	83.0	61.0	61.0	60.0
66	2132	84.0	84.0	83.0	60.0	61.0	60.0
67	2134	84.0	84.0	83.0	60.0	61.0	60.0
68	2136	84.0	84.0	83.0	60.0	61.0	60.0
69	2138	84.0	84.0	83.0	60.0	60.0	60.0
70	2140	84.0	84.0	83.0	60.0	60.0	60.0
71	2142	84.0	85.0	83.0	60.0	60.0	60.0
72	2144	84.0	85.0	83.0	60.0	60.0	59.0
73	2146	84.0	85.0	84.0	60.0	60.0	59.0
74	2148	84.0	85.0	84.0	60.0	60.0	59.0
75	2150	84.0	85.0	84.0	60.0	60.0	59.0
76	2152	84.0	85.0	84.0	60.0	60.0	59.0
77	2154	84.0	85.0	84.0	59.5	60.0	59.0
78	2156	85.0	85.0	84.0	59.0	60.0	59.0
79	2158	85.0	85.0	84.0	59.0	60.0	59.0
