	time	range_hot	range_cold
0	2000	77	67
1	2002	77	67
2	2004	78	66
3	2006	78	66
4	2008	78	66
5	2010	78	66
6	2012	78	66
7	2014	78	66
8	2016	78	66
9	2018	78	66
10	2020	78	66
11	2022	78	66
12	2024	78	66
13	2026	78	66
14	2028	79	66
15	2030	79	66
16	2032	79	66
17	2034	79	65
18	2036	79	65
19	2038	79	65
20	2040	79	65
21	2042	79	65
22	2044	79	65
23	2046	79	65
24	2048	80	65
25	2050	80	64
26	2052	80	64
27	2054	80	64
28	2056	80	64
29	2058	80	64
30	2060	80	64
31	2062	80	64
32	2064	80	64
33	2066	80	64
34	2068	81	64
35	2070	81	63
36	2072	81	63
37	2074	81	63
38	2076	81	63
39	2078	81	63
40	2080	81	63
41	2082	81	63
42	2084	81	63
43	2086	81	63
44	2088	81	63
45	2090	81	63
46	2092	82	63
47	2094	81	62
48	2096	82	62
49	2098	82	62
50	2100	82	62
51	2102	82	62
52	2104	82	62
53	2106	82	62
54	2108	82	62
55	2110	82	62
56	2112	82	62
57	2114	82	62
58	2116	82	62
59	2118	82	62
60	2120	83	61
61	2122	83	61
62	2124	83	61
63	2126	83	61
64	2128	83	61
65	2130	83	61
66	2132	83	61
67	2134	83	61
68	2136	83	61
69	2138	83	61
70	2140	83	61
71	2142	83	61
72	2144	83	61
73	2146	83	60
74	2148	83	60
75	2150	83	60
76	2152	84	60
77	2154	84	60
78	2156	84	60
79	2158	84	60
80	2160	84	60
81	2162	84	60
82	2164	84	60
83	2166	84	59
84	2168	84	59
85	2170	84	59
86	2172	85	59
87	2174	85	59
88	2176	84	59
89	2178	85	59
90	2180	84	59
91	2182	85	59
92	2184	85	59
93	2186	85	59
94	2188	85	59
95	2190	85	58
96	2192	85	58
97	2194	85	58
98	2196	85	58
99	2198	85	58
100	2200	86	58
101	2202	86	58
102	2204	86	58
103	2206	86	58
104	2208	86	58
105	2210	87	58
106	2212	87	58
107	2214	87	58
108	2216	87	57
109	2218	87	58
110	2220	87	57
111	2222	87	57
112	2224	87	57
113	2226	87	57
114	2228	87	57
115	2230	87	57
116	2232	87	57
117	2234	87	56
118	2236	87	56
119	2238	87	56
120	2240	88	56
121	2242	87	56
122	2244	88	56
123	2246	88	56
124	2248	88	56
125	2250	88	56
126	2252	88	56
127	2254	88	56
128	2256	88	56
129	2258	88	56
130	2260	88	56
131	2262	88	56
132	2264	88	56
133	2266	88	56
134	2268	88	55
135	2270	88	55
136	2272	88	55
137	2274	88	55
138	2276	88	55
139	2278	88	55
140	2280	88	55
141	2282	88	55
142	2284	88	55
143	2286	88	55
144	2288	89	55
145	2290	89	54
146	2292	89	54
147	2294	89	54
148	2296	89	54
149	2298	89	54
150	2300	89	54
151	2302	89	54
152	2304	89	54
153	2306	89	54
154	2308	89	54
155	2310	89	54
156	2312	89	54
157	2314	89	54
158	2316	89	54
159	2318	89	54
160	2320	89	54
161	2322	90	53
162	2324	90	53
163	2326	90	53
164	2328	90	53
165	2330	90	53
166	2332	90	53
167	2334	90	53
168	2336	90	53
169	2338	90	53
170	2340	90	53
171	2342	90	52
172	2344	90	52
173	2346	90	52
174	2348	90	52
175	2350	90	52
176	2352	90	52
177	2354	90	52
178	2356	90	52
179	2358	90	52
180	2360	90	52
181	2362	91	52
182	2364	91	52
183	2366	91	52
184	2368	91	52
185	2370	91	52
186	2372	91	52
187	2374	91	51
188	2376	91	51
189	2378	91	51
190	2380	91	51
191	2382	91	51
192	2384	91	51
193	2386	91	51
194	2388	91	51
195	2390	91	51
196	2392	91	50
197	2394	91	50
198	2396	91	50
199	2398	91	50
200	2400	92	50
201	2402	92	50
202	2404	92	50
203	2406	92	50
204	2408	92	50
205	2410	92	50
206	2412	92	50
207	2414	92	50
208	2416	92	50
209	2418	92	50
210	2420	92	50
211	2422	92	50
212	2424	92	50
213	2426	92	50
214	2428	92	50
215	2430	92	50
216	2432	92	50
217	2434	92	50
218	2436	92	50
219	2438	92	50
220	2440	92	50
221	2442	92	50
222	2444	92	50
223	2446	92	50
224	2448	93	50
225	2450	92	50
226	2452	93	50
227	2454	93	50
228	2456	94	50
229	2458	94	50
230	2460	94	50
231	2462	93	50
232	2464	94	50
233	2466	94	50
234	2468	94	50
235	2470	94	50
236	2472	94	50
237	2474	94	50
238	2476	94	50
239	2478	94	50
240	2480	94	50
241	2482	94	50
242	2484	94	50
243	2486	94	50
244	2488	94	50
245	2490	95	50
246	2492	95	50
247	2494	95	50
248	2496	95	50
249	2498	95	50
250	2500	95	50
251	2502	95	50
252	2504	95	50
