 time_step hot_DSm q_25_hot_br_DSm q_75_hot_br_DSm hot_wr_DSm q_25_hot_wr_DSm q_75_hot_wr_DSm cold_DSm q_25_cold_br_DSm q_75_cold_br_DSm cold_wr_DSm q_25_cold_wr_DSm q_75_cold_wr_DSm
0 2000.0 -0.000873847 -0.0009604514999999999 -0.00081481975 5.709682541693859e-09 3.983156205147563e-09 7.809044243412007e-09 -0.0009209935 -0.0010070075 -0.0008693112500000001 5.233547676843701e-09 3.799248282796441e-09 7.300182461981546e-09
1 2002.0 -0.0008731835 -0.0009604514999999999 -0.0008192482499999999 5.656781165467817e-09 3.856126744817601e-09 7.581754544091168e-09 -0.000920326 -0.001006735 -0.0008699125 5.3724099614537425e-09 3.858771612341699e-09 6.921384997429576e-09
2 2004.0 -0.000871941 -0.00096344675 -0.00081376125 5.568529054668838e-09 3.550137567254026e-09 7.404438102191801e-09 -0.000920338 -0.00099301375 -0.0008693112500000001 5.212991082929504e-09 3.7071746634026987e-09 7.018853182211755e-09
3 2006.0 -0.0008728675 -0.00096579475 -0.00081406825 5.450553156317391e-09 3.580009142621598e-09 7.476323965401241e-09 -0.0009195284999999999 -0.000993208 -0.0008699125 5.2832856604733524e-09 3.722265331226665e-09 7.243133440768559e-09
4 2008.0 -0.00087510975 -0.0009658704999999999 -0.0008134679999999999 5.42440978684837e-09 3.5031364628279393e-09 7.530135853193334e-09 -0.0009182624999999999 -0.0009952405 -0.0008702025 5.2521204073020295e-09 3.7177167474411015e-09 7.188571632584348e-09
5 2010.0 -0.0008714294999999999 -0.0009658704999999999 -0.0008134679999999999 5.299679565811717e-09 3.7016196122464575e-09 7.2165527231835985e-09 -0.0009208915 -0.0009952405 -0.0008699125 5.233642009791126e-09 3.736661388884569e-09 7.20932813326255e-09
6 2012.0 -0.0008711674999999999 -0.0009658704999999999 -0.00082556025 5.192829751861283e-09 3.6670805326272065e-09 7.087259466847406e-09 -0.0009227845 -0.0010026025 -0.0008699125 5.264462997166395e-09 3.8504540919381e-09 7.2194045365230076e-09
7 2014.0 -0.0008757705000000001 -0.0009658704999999999 -0.0008338525 4.968214125651435e-09 3.6647931299820326e-09 6.8976317941480264e-09 -0.000926451 -0.0010086099999999998 -0.00087134675 5.1582489383500525e-09 3.75237245443496e-09 7.3592184552841845e-09
8 2016.0 -0.000879438 -0.0009683791249999999 -0.00083008675 4.923812018315946e-09 3.5839293973811957e-09 7.035953254595213e-09 -0.0009281825 -0.0010081825 -0.00087134675 5.074129121634047e-09 3.760814326751921e-09 6.9624046983331265e-09
9 2018.0 -0.000883359 -0.00096788425 -0.00083008675 4.871889663078146e-09 3.440704102158578e-09 6.8629009321685865e-09 -0.0009340945000000001 -0.0010081825 -0.00087134675 4.808859243613514e-09 3.6931136616436964e-09 6.848462151233532e-09
