max_pf 77 min_pf 48
individual DHm DSm DCp disp_rate patch_no b_patch_no mut_eff DDHm DDCp
0 0.6151 -0.000863332 -0.00428066 0.01 76 76 0 0 0
12 0.526741 -0.00113109 -0.0503779 0.01 60 61 0 0 0
30 0.527996 -0.00112729 -0.0356644 0.01 60 60 0 0 0
41 0.579725 -0.000970531 -0.0844736 0.01 60 60 0 0 0
48 0.6151 -0.000863332 -0.00428066 0.01 76 76 0 0 0
62 0.534666 -0.00110707 -0.0844736 0.01 60 60 0 0 0
63 0.57768 -0.000976728 -0.0669103 0.01 50 50 0 0 0
70 0.57768 -0.000976728 -0.0669103 0.01 49 49 0 0 0
81 0.57768 -0.000976728 -0.0642966 0.01 50 50 0 0 0
85 0.527996 -0.00112729 -0.0356644 0.01 60 60 0 0 0
105 0.570066 -0.0009998 -0.0504263 0.01 60 60 0 0 0
108 0.57768 -0.000976728 -0.0669103 0.01 49 49 0 0 0
114 0.566844 -0.00100956 -0.0669103 0.01 50 50 0 0 0
117 0.6151 -0.000863332 -0.00428066 0.01 75 75 0 0 0
131 0.563506 -0.00101968 -0.0669103 0.01 48 48 0.00894138 -0.014174 0
132 0.570066 -0.0009998 -0.0482546 0.01 60 60 0.000322729 0 0.00217164
137 0.56003 -0.00103021 -0.0663863 0.01 60 60 0.0209872 -0.0262998 0
146 0.488094 -0.0012482 -0.0638371 0.01 60 60 0 0 0
149 0.570066 -0.0009998 -0.0506924 0.01 60 60 0 0 0
167 0.57768 -0.000976728 -0.0669103 0.01 49 49 0 0 0
174 0.57768 -0.000976728 -0.0669103 0.01 49 49 0 0 0
180 0.57768 -0.000976728 -0.0700262 0.01 50 50 0 0 0
189 0.513327 -0.00117174 -0.0638371 0.01 60 60 0 0 0
200 0.57768 -0.000976728 -0.0669103 0.01 50 50 0 0 0
232 0.600298 -0.000908188 -0.0844736 0.01 60 60 0 0 0
235 0.6151 -0.000863332 -0.00428066 0.01 75 75 0 0 0
237 0.6151 -0.000863332 -0.00428066 0.01 75 74 0 0 0
247 0.57768 -0.000976728 -0.0669103 0.01 49 49 0 0 0
251 0.611629 -0.000873853 -0.0124093 0.01 75 75 0 0 0
274 0.57768 -0.000976728 -0.0669103 0.01 49 49 0 0 0
278 0.6151 -0.000863332 -0.00428066 0.01 76 76 0 0 0
288 0.57768 -0.000976728 -0.0669103 0.01 50 50 0 0 0
304 0.568864 -0.00100344 -0.0603551 0.01 60 60 0 0 0
305 0.6151 -0.000863332 -0.00428066 0.01 75 75 0 0 0
313 0.573968 -0.000987975 -0.0566358 0.01 50 53 0 0 0
326 0.577829 -0.000976275 -0.0757321 0.01 60 61 0 0 0
327 0.540758 -0.00108861 -0.0638371 0.01 60 61 0 0 0
330 0.57768 -0.000976728 -0.0777638 0.01 48 48 0 0 0
338 0.57768 -0.000976728 -0.0669103 0.01 48 48 0 0 0
339 0.6151 -0.000863332 -0.00428066 0.01 76 76 0 0 0
353 0.586731 -0.000949301 -0.0669103 0.01 50 51 0 0 0
356 0.591231 -0.000935665 -0.0433785 0.01 60 60 0 0 0
359 0.5612 -0.00102667 -0.0846822 0.01 60 60 0 0 0
367 0.57768 -0.000976728 -0.0669103 0.01 49 49 0 0 0
369 0.513327 -0.00117174 -0.0638371 0.01 60 60 0 0 0
385 0.57768 -0.000976728 -0.0669103 0.01 49 49 0 0 0
389 0.6151 -0.000863332 -0.00428066 0.01 76 76 0 0 0
394 0.57768 -0.000976728 -0.0669103 0.01 49 49 0 0 0
396 0.57768 -0.000976728 -0.0669103 0.01 50 50 0 0 0
397 0.534666 -0.00110707 -0.0844736 0.01 60 60 0 0 0
401 0.57768 -0.000976728 -0.0669103 0.01 49 50 0 0 0
403 0.57768 -0.000976728 -0.0669103 0.01 50 50 0 0 0
426 0.6151 -0.000863332 -0.00428066 0.01 75 75 0 0 0
436 0.503299 -0.00120212 -0.0638371 0.01 60 60 0 0 0
441 0.57768 -0.000976728 -0.0669103 0.01 49 49 0 0 0
447 0.578079 -0.000975517 -0.0669103 0.01 50 50 0 0 0
475 0.563506 -0.00101968 -0.0669103 0.01 48 48 0 0 0
480 0.57768 -0.000976728 -0.0669103 0.01 49 49 0 0 0
481 0.586832 -0.000948993 -0.0669103 0.01 49 49 0 0 0
513 0.586138 -0.000951096 -0.0971289 0.01 60 60 0 0 0
515 0.5612 -0.00102667 -0.0846822 0.01 60 60 0 0 0
518 0.556517 -0.00104086 -0.051049 0.01 60 60 0 0 0
522 0.57768 -0.000976728 -0.0669103 0.01 50 50 0 0 0
527 0.547774 -0.00106735 -0.069637 0.01 60 60 0 0 0
547 0.562134 -0.00102384 -0.0777638 0.01 48 48 0 0 0
557 0.57768 -0.000976728 -0.0669103 0.01 49 49 0 0 0
560 0.611629 -0.000873853 -0.0124093 0.01 75 75 -0.0220791 0 -0.00812865
566 0.6151 -0.000863332 -0.00428066 0.01 75 75 0 0 0
568 0.549885 -0.00106095 -0.0539529 0.01 60 60 0 0 0
573 0.513327 -0.00117174 -0.0638371 0.01 60 60 0 0 0
576 0.568864 -0.00100344 -0.0602536 0.01 60 59 0 0 0
586 0.6151 -0.000863332 -0.00428066 0.01 75 75 0 0 0
587 0.57768 -0.000976728 -0.0669103 0.01 48 50 0 0 0
616 0.513327 -0.00117174 -0.0638371 0.01 60 60 0 0 0
629 0.568864 -0.00100344 -0.0491333 0.01 60 58 0 0 0
633 0.57768 -0.000976728 -0.0669103 0.01 49 49 0 0 0
638 0.513327 -0.00117174 -0.0638371 0.01 60 60 0 0 0
640 0.57768 -0.000976728 -0.079273 0.01 50 50 -0.000558496 0 -0.0123627
673 0.57768 -0.000976728 -0.0669103 0.01 49 50 0 0 0
682 0.57768 -0.000976728 -0.0669103 0.01 50 50 0 0 0
685 0.6151 -0.000863332 -0.00428066 0.01 75 75 0 0 0
693 0.567147 -0.00100865 -0.0568816 0.01 60 61 0 0 0
702 0.6151 -0.000863332 -0.00428066 0.01 75 75 0 0 0
703 0.578071 -0.000975542 -0.042821 0.01 60 60 0 0 0
707 0.6151 -0.000863332 -0.00428066 0.01 75 75 0 0 0
709 0.574919 -0.000985092 -0.0669103 0.01 49 49 0.00176299 -0.00276041 0
712 0.57768 -0.000976728 -0.0669103 0.01 50 50 0 0 0
724 0.553598 -0.0010497 -0.0492668 0.01 50 50 0 0 0
741 0.556087 -0.00104216 -0.0638371 0.01 50 52 0 0 0
742 0.566844 -0.00100956 -0.0669103 0.01 50 50 0 0 0
745 0.55879 -0.00103397 -0.0598271 0.01 60 60 0 0 0
751 0.57768 -0.000976728 -0.0669103 0.01 50 50 0 0 0
759 0.57768 -0.000976728 -0.0669103 0.01 48 48 0 0 0
