	time	range_hot	range_hot_high	range_hot_low	range_cold	range_cold_high	range_cold_low
0	2000	77.0	77.0	77.0	67.0	67.0	67.0
1	2002	77.0	77.0	77.0	67.0	67.0	67.0
2	2004	78.0	78.0	78.0	66.0	66.0	66.0
3	2006	78.0	78.0	78.0	66.0	66.0	66.0
4	2008	78.0	78.0	78.0	66.0	66.0	66.0
5	2010	78.0	78.0	78.0	66.0	66.0	66.0
6	2012	78.0	79.0	78.0	66.0	66.0	66.0
7	2014	79.0	79.0	78.0	66.0	66.0	65.0
8	2016	79.0	79.0	79.0	65.0	66.0	65.0
9	2018	79.0	79.0	79.0	65.0	65.0	65.0
10	2020	79.0	80.0	79.0	65.0	65.0	65.0
11	2022	79.0	80.0	79.0	65.0	65.0	65.0
12	2024	80.0	80.0	79.0	65.0	65.0	65.0
13	2026	80.0	80.0	79.75	65.0	65.0	65.0
14	2028	80.0	80.0	80.0	65.0	65.0	64.0
15	2030	80.0	81.0	80.0	64.0	65.0	64.0
16	2032	80.0	81.0	80.0	64.0	65.0	64.0
17	2034	81.0	81.0	80.0	64.0	64.0	64.0
18	2036	81.0	81.0	81.0	64.0	64.0	64.0
19	2038	81.0	82.0	81.0	64.0	64.0	64.0
20	2040	81.0	82.0	81.0	64.0	64.0	63.0
21	2042	81.0	82.0	81.0	64.0	64.0	63.0
22	2044	82.0	82.0	81.0	64.0	64.0	63.0
23	2046	82.0	82.0	81.0	63.0	64.0	63.0
24	2048	82.0	83.0	82.0	63.0	64.0	63.0
25	2050	82.0	83.0	82.0	63.0	63.0	63.0
26	2052	82.0	83.0	82.0	63.0	63.0	62.75
27	2054	83.0	83.0	82.0	63.0	63.0	62.0
28	2056	83.0	84.0	82.0	63.0	63.0	62.0
29	2058	83.0	84.0	83.0	62.0	63.0	62.0
30	2060	83.0	84.0	83.0	62.0	63.0	62.0
31	2062	84.0	84.0	83.0	62.0	63.0	62.0
32	2064	84.0	85.0	83.0	62.0	62.0	62.0
33	2066	84.0	85.0	84.0	62.0	62.0	61.0
34	2068	84.0	85.0	84.0	62.0	62.0	61.0
35	2070	85.0	85.0	84.0	61.5	62.0	61.0
36	2072	85.0	85.25	84.0	61.0	62.0	61.0
37	2074	85.0	86.0	84.0	61.0	62.0	61.0
38	2076	85.0	86.0	84.0	61.0	62.0	61.0
39	2078	85.0	86.0	85.0	61.0	61.0	60.0
40	2080	86.0	87.0	85.0	61.0	61.0	60.0
41	2082	86.0	87.0	85.0	61.0	61.0	60.0
42	2084	86.0	87.0	85.0	60.0	61.0	60.0
43	2086	87.0	87.0	86.0	60.0	61.0	60.0
44	2088	87.0	88.0	86.0	60.0	61.0	60.0
45	2090	87.0	88.0	86.0	60.0	60.25	60.0
46	2092	87.0	88.25	86.0	60.0	60.0	59.0
47	2094	88.0	89.0	86.75	60.0	60.0	59.0
48	2096	88.0	89.0	87.0	59.0	60.0	59.0
49	2098	88.0	89.0	87.0	59.0	60.0	59.0
50	2100	88.0	89.0	87.0	59.0	60.0	59.0
51	2102	89.0	90.0	87.75	59.0	60.0	58.0
52	2104	89.0	90.0	88.0	59.0	59.0	58.0
53	2106	89.0	90.25	88.0	59.0	59.0	58.0
54	2108	90.0	91.0	88.0	58.0	59.0	58.0
55	2110	90.0	91.0	88.75	58.0	59.0	58.0
56	2112	90.5	91.0	89.0	58.0	59.0	57.0
57	2114	91.0	92.0	89.0	58.0	59.0	57.0
58	2116	91.0	92.0	89.75	58.0	58.0	57.0
59	2118	91.0	93.0	90.0	58.0	58.0	57.0
60	2120	92.0	93.0	90.0	57.0	58.0	56.0
61	2122	92.0	93.0	90.0	57.0	58.0	56.0
62	2124	92.0	94.0	91.0	57.0	58.0	56.0
63	2126	93.0	94.0	91.0	57.0	58.0	56.0
64	2128	93.0	95.0	91.0	57.0	57.0	56.0
65	2130	93.0	95.0	92.0	56.5	57.0	55.0
66	2132	94.0	95.25	92.0	56.0	57.0	55.0
67	2134	94.0	96.0	92.75	56.0	57.0	55.0
68	2136	94.0	96.0	93.0	56.0	57.0	55.0
69	2138	95.0	97.25	93.0	56.0	56.25	54.0
70	2140	95.0	98.0	94.0	55.0	56.0	54.0
71	2142	95.0	98.25	94.0	55.0	56.0	54.0
72	2144	96.0	98.25	94.0	55.0	56.0	54.0
73	2146	96.0	99.25	95.0	55.0	56.0	53.0
74	2148	97.0	99.0	95.0	55.0	56.0	53.0
75	2150	97.0	100.0	95.25	54.5	55.0	53.0
76	2152	98.0	101.0	95.0	54.0	55.0	53.0
77	2154	98.0	101.0	96.0	54.0	55.0	53.0
78	2156	99.0	102.0	96.0	54.0	55.0	52.0
79	2158	99.5	102.25	97.0	53.0	55.0	52.0
80	2160	100.5	104.0	97.0	53.0	54.0	51.0
81	2162	101.0	104.0	97.0	53.0	54.0	51.0
82	2164	101.0	104.0	98.0	53.0	54.0	51.0
83	2166	102.0	105.0	99.0	53.0	54.0	52.0
84	2168	103.0	106.0	98.0	52.0	54.0	51.0
85	2170	103.0	107.0	99.0	52.0	53.0	50.0
86	2172	102.5	107.0	99.0	52.0	53.0	50.0
87	2174	103.0	108.25	99.0	52.0	53.0	50.0
88	2176	103.0	108.25	100.0	52.0	53.0	49.0
89	2178	104.0	108.0	99.0	52.0	53.0	50.0
