	time	range_hot	range_cold
0	2000	77	67
1	2002	77	67
2	2004	78	66
3	2006	78	66
4	2008	78	66
5	2010	78	66
6	2012	78	66
7	2014	79	66
8	2016	79	66
9	2018	79	65
10	2020	79	65
11	2022	79	65
12	2024	80	65
13	2026	80	65
14	2028	80	65
15	2030	82	64
16	2032	82	64
17	2034	82	64
18	2036	82	64
19	2038	83	64
20	2040	83	64
21	2042	83	64
22	2044	84	64
23	2046	84	64
24	2048	84	63
25	2050	84	62
26	2052	85	62
27	2054	85	62
28	2056	85	62
29	2058	85	62
30	2060	85	62
31	2062	85	62
32	2064	86	61
33	2066	86	61
34	2068	86	61
35	2070	86	61
36	2072	87	61
37	2074	87	61
38	2076	88	61
39	2078	88	61
40	2080	88	61
41	2082	88	60
42	2084	89	60
43	2086	89	60
44	2088	89	60
45	2090	90	60
46	2092	90	60
47	2094	90	59
48	2096	91	59
49	2098	91	59
50	2100	91	59
51	2102	91	58
52	2104	92	58
53	2106	92	58
54	2108	92	58
55	2110	92	58
56	2112	93	57
57	2114	93	57
58	2116	93	57
59	2118	94	57
60	2120	94	56
61	2122	94	56
62	2124	94	56
63	2126	95	56
64	2128	95	56
65	2130	96	55
66	2132	96	55
67	2134	97	55
68	2136	98	55
69	2138	98	55
70	2140	99	54
71	2142	101	54
72	2144	101	53
73	2146	103	53
74	2148	105	52
75	2150	109	51
76	2152	113	49
