	time	range_hot	range_cold
0	2002	77	67
1	2004	78	67
2	2006	78	66
3	2008	78	66
4	2010	78	66
5	2016	78	66
6	2020	79	66
7	2022	79	66
8	2024	79	66
9	2026	79	66
10	2028	79	66
11	2030	79	65
12	2032	79	65
13	2040	80	65
14	2042	80	65
15	2044	80	64
16	2046	80	64
17	2048	80	64
18	2050	80	64
19	2052	80	64
20	2054	81	64
21	2056	81	64
22	2058	81	64
23	2060	81	64
24	2064	81	64
25	2066	81	64
26	2068	81	64
27	2072	82	63
28	2074	82	63
29	2076	82	63
30	2078	82	63
31	2080	82	63
32	2082	82	63
33	2084	82	63
34	2088	83	62
35	2094	83	62
36	2096	83	62
37	2100	83	62
38	2102	83	62
39	2104	83	62
40	2106	83	62
41	2108	83	62
42	2110	83	62
43	2116	83	61
44	2118	83	61
45	2120	83	61
46	2122	83	61
47	2126	84	61
48	2132	84	61
49	2134	84	60
50	2136	84	60
51	2140	84	60
52	2142	84	60
53	2144	84	60
54	2146	84	60
55	2148	84	60
56	2150	85	60
57	2156	85	59
58	2158	85	59
59	2162	85	59
60	2164	85	59
61	2166	85	59
62	2170	85	59
63	2172	85	59
64	2174	85	59
65	2176	85	59
66	2178	85	59
67	2180	85	59
68	2182	86	59
69	2184	86	59
70	2186	86	59
71	2188	86	59
72	2190	86	59
73	2192	86	59
74	2194	86	58
75	2196	86	58
76	2200	86	58
77	2202	86	58
78	2204	86	58
79	2206	86	58
80	2208	86	58
81	2210	86	58
82	2212	86	58
83	2214	86	58
84	2216	87	57
85	2218	87	57
86	2222	87	57
87	2228	87	57
88	2230	87	57
89	2232	87	57
90	2234	87	57
91	2236	87	57
92	2238	87	57
93	2240	87	57
94	2244	87	56
95	2246	88	56
96	2248	87	56
97	2250	87	56
98	2252	87	56
99	2254	88	56
100	2256	88	56
101	2258	87	56
102	2260	88	56
103	2262	88	56
104	2266	88	55
105	2268	88	55
106	2270	88	55
107	2274	88	55
108	2276	88	55
109	2280	88	55
110	2286	89	55
111	2288	89	55
112	2294	88	55
113	2296	88	55
114	2298	89	55
115	2300	88	55
116	2302	89	55
117	2304	88	54
118	2306	89	54
119	2308	88	54
120	2310	89	54
121	2316	89	54
122	2318	89	54
123	2320	89	54
124	2322	89	54
125	2324	89	54
126	2328	89	54
127	2330	89	53
128	2332	90	53
129	2334	90	53
130	2338	89	52
131	2344	90	53
132	2346	90	52
133	2352	90	52
134	2354	90	52
135	2362	90	52
136	2364	90	50
137	2366	90	50
138	2368	90	50
139	2370	90	50
140	2372	90	50
141	2374	90	50
142	2376	90	50
143	2380	90	50
144	2384	90	50
145	2386	90	49
146	2388	90	49
147	2390	90	49
148	2392	90	49
149	2394	91	49
150	2396	91	49
151	2402	91	49
152	2404	91	49
153	2406	91	49
154	2408	91	49
155	2410	91	49
