	time	range_hot	range_cold
0	2000	77	67
1	2002	77	67
2	2004	77	66
3	2006	78	66
4	2008	78	66
5	2010	78	66
6	2012	78	66
7	2014	78	66
8	2016	78	66
9	2018	78	66
10	2020	78	66
11	2022	78	66
12	2024	78	65
13	2026	78	65
14	2028	78	65
15	2030	78	65
16	2032	78	65
17	2034	78	65
18	2036	78	65
19	2038	79	65
20	2040	79	65
21	2042	79	64
22	2044	79	64
23	2046	79	64
24	2048	79	64
25	2050	79	64
26	2052	79	64
27	2054	79	64
28	2056	79	64
29	2058	79	64
30	2060	79	64
31	2062	79	64
32	2064	79	64
33	2066	80	63
34	2068	80	63
35	2070	80	63
36	2072	80	63
37	2074	80	63
38	2076	80	63
39	2078	80	63
40	2080	80	63
41	2082	80	62
42	2084	80	62
43	2086	80	62
44	2088	80	62
45	2090	80	62
46	2092	80	62
47	2094	81	62
48	2096	81	61
49	2098	81	61
50	2100	81	61
51	2102	81	61
52	2104	81	61
53	2106	81	61
54	2108	81	61
55	2110	82	61
56	2112	82	61
57	2114	82	61
58	2116	82	61
59	2118	82	61
60	2120	82	60
61	2122	82	60
62	2124	83	60
63	2126	83	60
64	2128	83	60
65	2130	83	60
66	2132	83	60
67	2134	83	60
68	2136	83	60
69	2138	83	60
70	2140	83	60
71	2142	83	59
72	2144	83	59
73	2146	84	59
74	2148	84	59
75	2150	84	59
76	2152	84	59
77	2154	84	59
78	2156	84	59
79	2158	84	58
80	2160	84	58
81	2162	84	58
82	2164	84	58
83	2166	84	58
84	2168	84	58
85	2170	84	58
86	2172	84	58
87	2174	84	57
88	2176	85	57
89	2178	85	57
90	2180	85	57
91	2182	85	57
92	2184	85	57
93	2186	85	57
94	2188	85	57
95	2190	85	57
96	2192	85	57
97	2194	85	57
98	2196	85	57
99	2198	85	56
100	2200	85	56
101	2202	86	56
102	2204	86	56
103	2206	86	56
104	2208	86	56
105	2210	86	56
106	2212	86	56
107	2214	86	54
108	2216	86	54
109	2218	86	54
110	2220	86	54
111	2222	86	54
112	2224	86	54
113	2226	86	54
114	2228	86	54
115	2230	86	54
116	2232	86	54
117	2234	86	54
118	2236	86	53
119	2238	86	53
120	2240	87	53
121	2242	87	53
122	2244	87	53
123	2246	87	53
124	2248	87	53
125	2250	87	53
126	2252	87	53
127	2254	87	53
128	2256	87	53
129	2258	88	53
130	2260	88	53
131	2262	88	52
132	2264	89	52
133	2266	89	52
134	2268	89	52
135	2270	89	52
136	2272	89	52
137	2274	89	52
138	2276	88	52
139	2278	88	52
140	2280	88	52
141	2282	89	52
142	2284	89	51
143	2286	89	51
144	2288	89	51
145	2290	89	50
146	2292	89	50
147	2294	89	50
148	2296	89	50
149	2298	89	50
150	2300	89	50
151	2302	89	50
152	2304	89	50
153	2306	89	50
154	2308	89	50
155	2310	89	50
156	2312	90	50
157	2314	90	50
158	2316	90	50
159	2318	90	50
160	2320	90	50
161	2322	90	50
162	2324	90	50
163	2326	90	50
164	2328	91	50
165	2330	91	50
166	2332	91	49
167	2334	91	49
168	2336	91	49
169	2338	91	49
170	2340	91	49
171	2342	91	49
172	2344	91	49
173	2346	91	49
174	2348	91	48
175	2350	91	48
176	2352	91	48
177	2354	91	48
178	2356	91	48
179	2358	91	48
180	2360	91	48
181	2362	91	48
182	2364	91	48
183	2366	91	48
184	2368	91	48
185	2370	91	48
186	2372	91	48
187	2374	91	48
188	2376	91	48
189	2378	91	48
190	2380	91	48
191	2382	91	48
192	2384	91	48
193	2386	91	48
194	2388	92	48
195	2390	92	48
196	2392	92	48
197	2394	92	48
198	2396	92	48
199	2398	92	47
200	2400	92	47
201	2402	92	47
202	2404	92	47
203	2406	92	47
204	2408	92	47
205	2410	92	47
206	2412	92	47
207	2414	92	47
208	2416	92	47
209	2418	92	47
210	2420	92	47
211	2422	92	47
212	2424	92	46
213	2426	92	46
214	2428	93	46
215	2430	93	46
216	2432	93	46
217	2434	93	46
218	2436	93	46
219	2438	93	46
220	2440	93	46
221	2442	93	45
222	2444	93	45
223	2446	93	45
224	2448	93	45
225	2450	93	45
226	2452	93	45
227	2454	93	45
228	2456	93	45
229	2458	94	45
230	2460	94	45
231	2462	94	45
232	2464	94	45
233	2466	94	45
234	2468	94	45
235	2470	94	45
236	2472	94	45
237	2474	94	45
238	2476	94	45
239	2478	94	45
240	2480	94	45
241	2482	94	45
242	2484	94	45
243	2486	94	45
244	2488	94	45
245	2490	94	44
246	2492	94	44
247	2494	94	44
248	2496	94	44
249	2498	95	44
250	2500	95	44
251	2502	95	44
252	2504	95	44
