 time_step hot_sigma q_25_hot_br_sigma q_75_hot_br_sigma hot_wr_sigma q_25_hot_wr_sigma q_75_hot_wr_sigma cold_sigma q_25_cold_br_sigma q_75_cold_br_sigma cold_wr_sigma q_25_cold_wr_sigma q_75_cold_wr_sigma
0 2000.0 7.9958 7.96397 8.03818 0.03814091134753166 0.026641076777187044 0.04742676831125016 8.0168 7.972535 8.05848 0.0321163665305985 0.026343949050368458 0.041962085926015316
1 2002.0 7.99628 7.966425 8.0351625 0.037179668758920384 0.02682934439784051 0.04739255394775779 8.01911 7.97339 8.05848 0.032533410334058904 0.026545974690302825 0.0411882991707088
2 2004.0 7.99643 7.966415 8.03378 0.03651488243321075 0.025434339235180084 0.04747732515156852 8.0169 7.9747 8.0622625 0.031282159119358624 0.026350127431861742 0.04082156944595773
3 2006.0 7.99643 7.957105 8.03607 0.03518773950432455 0.024525634488943696 0.04761803710839535 8.01047 7.97303 8.060345 0.03083535762871708 0.02540336269336193 0.03791086483838199
4 2008.0 8.00356 7.955595000000001 8.039745 0.034104642579233034 0.024895657898614976 0.05067211739496513 8.00766 7.973105 8.061409999999999 0.03169195219475722 0.025063875640993164 0.03801647287250469
5 2010.0 8.00198 7.952755 8.035765000000001 0.035197394109938766 0.025490609972834734 0.05053776573525208 8.01047 7.973105 8.06617 0.03143056988269459 0.024967468770838126 0.03844575253850706
6 2012.0 8.00198 7.95449 8.039502500000001 0.034053637627708126 0.02566529587819733 0.05043816334267079 8.01047 7.973105 8.06636 0.03152775428749486 0.025212645638653733 0.03888963732904306
7 2014.0 8.00356 7.951315 8.034955 0.034327491991204676 0.025499609186982526 0.05039242104690726 8.00886 7.97337 8.06834 0.03163619154391794 0.02534034322863395 0.039584955578552405
8 2016.0 7.99895 7.95247 8.034375 0.03445376132883288 0.026404097017576726 0.05069566138488518 8.01047 7.97411 8.06738 0.031782971144916974 0.02545125182017454 0.039206398714204255
9 2018.0 8.001745 7.94849 8.034375 0.03393359266439537 0.026597783155451058 0.049912805304120955 8.01088 7.973205 8.06666 0.03171557024409852 0.025315811549551804 0.039902740543453746
10 2020.0 7.99864 7.94628 8.048765 0.033744551823067244 0.026234538778970286 0.050392655154851154 8.01088 7.97406 8.065185 0.031657193087985654 0.025379601782202957 0.03866371487343191
11 2022.0 8.00485 7.9508600000000005 8.060234999999999 0.034370699409414576 0.025089585142649456 0.050728890339734906 8.01047 7.97391 8.067264999999999 0.031267588532409414 0.025115394270248795 0.03853236568208184
12 2024.0 8.00767 7.946715 8.063335 0.0335880582495901 0.02539078176839573 0.05206845900196534 8.01183 7.97381 8.066545000000001 0.031002647861285627 0.024003589339501995 0.0382649874031499
13 2026.0 8.00356 7.952305000000001 8.066815 0.03321357883909158 0.024979317789245344 0.04697828370995843 8.01183 7.972695 8.066545000000001 0.030304683273161145 0.02398792350720802 0.038238222293573945
14 2028.0 8.00573 7.947965 8.071195 0.033525384762570984 0.02444631138645212 0.04600045831392075 8.01206 7.972535 8.06549 0.030082257471668157 0.024419449318196368 0.037409088725914544
