	time	range_hot	range_hot_high	range_hot_low	range_cold	range_cold_high	range_cold_low
0	2000	77.0	77.0	77.0	67.0	67.0	67.0
1	2002	77.0	77.0	77.0	67.0	67.0	67.0
2	2004	77.0	77.25	77.0	67.0	67.0	66.0
3	2006	78.0	78.0	77.0	66.0	66.0	66.0
4	2008	78.0	78.0	78.0	66.0	66.0	66.0
5	2010	78.0	78.0	78.0	66.0	66.0	66.0
6	2012	78.0	78.0	78.0	66.0	66.0	66.0
7	2014	78.0	78.0	78.0	66.0	66.0	66.0
8	2016	78.0	78.0	78.0	66.0	66.0	66.0
9	2018	78.0	78.0	78.0	66.0	66.0	66.0
10	2020	78.0	79.0	78.0	66.0	66.0	66.0
11	2022	78.0	79.0	78.0	66.0	66.0	65.0
12	2024	78.0	79.0	78.0	65.0	66.0	65.0
13	2026	79.0	79.0	78.0	65.0	65.0	65.0
14	2028	79.0	79.0	78.0	65.0	65.0	65.0
15	2030	79.0	79.0	79.0	65.0	65.0	65.0
16	2032	79.0	79.0	79.0	65.0	65.0	65.0
17	2034	79.0	79.0	79.0	65.0	65.0	65.0
18	2036	79.0	79.0	79.0	65.0	65.0	65.0
19	2038	79.0	79.0	79.0	65.0	65.0	65.0
20	2040	79.0	79.0	79.0	65.0	65.0	64.0
21	2042	79.0	79.0	79.0	65.0	65.0	64.0
22	2044	79.0	79.0	79.0	64.0	65.0	64.0
23	2046	79.0	79.0	79.0	64.0	65.0	64.0
24	2048	79.0	79.0	79.0	64.0	65.0	64.0
25	2050	79.0	79.0	79.0	64.0	64.0	64.0
26	2052	79.0	79.0	79.0	64.0	64.0	64.0
27	2054	79.0	79.0	79.0	64.0	64.0	64.0
28	2056	79.0	79.0	79.0	64.0	64.0	64.0
29	2058	79.0	79.0	79.0	64.0	64.0	64.0
30	2060	79.0	79.0	79.0	64.0	64.0	63.0
31	2062	79.0	79.0	79.0	64.0	64.0	63.0
32	2064	79.0	79.0	79.0	64.0	64.0	63.0
33	2066	79.0	79.0	79.0	63.5	64.0	63.0
34	2068	79.0	79.0	79.0	63.0	64.0	63.0
35	2070	79.0	79.0	79.0	63.0	64.0	63.0
36	2072	79.0	79.0	79.0	63.0	63.0	63.0
37	2074	79.0	79.0	79.0	63.0	63.0	63.0
38	2076	79.0	79.0	79.0	63.0	63.0	63.0
39	2078	79.0	79.0	79.0	63.0	63.0	63.0
40	2080	79.0	79.0	79.0	63.0	63.0	63.0
41	2082	79.0	79.0	79.0	63.0	63.0	62.0
42	2084	79.0	79.0	79.0	63.0	63.0	62.0
43	2086	79.0	79.0	79.0	63.0	63.0	62.0
44	2088	79.0	79.0	79.0	62.0	63.0	62.0
45	2090	79.0	79.0	79.0	62.0	63.0	62.0
46	2092	79.0	79.0	79.0	62.0	63.0	62.0
47	2094	79.0	79.0	79.0	62.0	62.0	62.0
48	2096	79.0	79.0	79.0	62.0	62.0	62.0
49	2098	79.0	79.0	79.0	62.0	62.0	62.0
50	2100	79.0	79.0	79.0	62.0	62.0	62.0
51	2102	79.0	79.0	79.0	62.0	62.0	61.0
52	2104	79.0	79.0	79.0	62.0	62.0	61.0
53	2106	79.0	79.0	79.0	62.0	62.0	61.0
54	2108	79.0	79.0	79.0	62.0	62.0	61.0
55	2110	79.0	79.0	79.0	61.0	62.0	61.0
56	2112	79.0	79.0	79.0	61.0	62.0	61.0
57	2114	79.0	79.0	79.0	61.0	62.0	61.0
58	2116	79.0	79.0	79.0	61.0	62.0	61.0
59	2118	79.0	79.0	79.0	61.0	61.25	61.0
60	2120	79.0	79.0	79.0	61.0	61.0	61.0
61	2122	79.0	79.0	79.0	61.0	61.0	60.0
62	2124	79.0	79.0	79.0	61.0	61.0	60.0
63	2126	79.0	79.0	79.0	61.0	61.0	60.0
64	2128	79.0	79.0	79.0	61.0	61.0	60.0
65	2130	79.0	79.0	79.0	61.0	61.0	60.0
66	2132	79.0	79.0	79.0	60.0	61.0	60.0
67	2134	79.0	79.0	79.0	60.0	61.0	60.0
68	2136	79.0	79.0	79.0	60.0	61.0	60.0
69	2138	79.0	79.0	79.0	60.0	60.25	60.0
70	2140	79.0	79.0	79.0	60.0	60.0	60.0
71	2142	79.0	79.0	79.0	60.0	60.0	60.0
72	2144	79.0	79.0	79.0	60.0	60.0	59.0
73	2146	79.0	79.0	79.0	60.0	60.0	59.0
74	2148	79.0	79.0	79.0	60.0	60.0	59.0
75	2150	79.0	79.0	79.0	60.0	60.0	59.0
76	2152	79.0	79.0	79.0	59.0	60.0	59.0
77	2154	79.0	79.0	79.0	59.0	60.0	59.0
78	2156	79.0	79.0	79.0	59.0	60.0	59.0
79	2158	79.0	79.0	79.0	59.0	60.0	59.0
