 time_step hot_dSr q_25_hot_br_dSr q_75_hot_br_dSr hot_wr_dSr q_25_hot_wr_dSr q_75_hot_wr_dSr cold_dSr q_25_cold_br_dSr q_75_cold_br_dSr cold_wr_dSr q_25_cold_wr_dSr q_75_cold_wr_dSr
0 2000.0 -0.008887015 -0.0091017275 -0.008784515 1.404065485580383e-07 9.792697157617518e-08 1.8221860036741074e-07 -0.009033079999999999 -0.0091084175 -0.0089695675 1.4267185256061806e-07 1.220486755530388e-07 1.840632616995148e-07
1 2002.0 -0.00887947 -0.0091017575 -0.008773295 1.4202578305249496e-07 9.792552747964365e-08 1.8190355855507977e-07 -0.009028205 -0.009114975 -0.0089620275 1.412645773289989e-07 1.2071181247073425e-07 1.8340263662473854e-07
2 2004.0 -0.00887765 -0.00907835 -0.00877254375 1.3305948522451917e-07 8.878965282054004e-08 1.8552358034861798e-07 -0.009031075 -0.0091067975 -0.0089695675 1.3953491261787672e-07 1.1743083575176732e-07 1.8119294676821882e-07
3 2006.0 -0.008890064999999999 -0.009085165 -0.0087708375 1.318605932822037e-07 8.607589616569034e-08 1.870607504980519e-07 -0.009040179999999998 -0.0091063075 -0.00898448 1.3864526268050188e-07 1.1538724681352361e-07 1.7692606825195195e-07
4 2008.0 -0.00888633 -0.0090983025 -0.0087708375 1.3222012015552445e-07 8.876429643128386e-08 1.8455807157549456e-07 -0.00904337 -0.009112737499999999 -0.00898448 1.361344461010177e-07 1.1237160206418595e-07 1.8034308806032703e-07
5 2010.0 -0.008868845 -0.0090979725 -0.0087722325 1.3270540905681672e-07 9.088010491700476e-08 1.751233925597122e-07 -0.009045565 -0.00911477875 -0.0089867825 1.3492476173399476e-07 1.1001288412411674e-07 1.7767284364025894e-07
6 2012.0 -0.008878899999999999 -0.0091008975 -0.0087708375 1.318192768867886e-07 8.972923904890541e-08 1.760075708973787e-07 -0.009050755 -0.00911754 -0.0089867825 1.344839482283888e-07 1.0787741860171685e-07 1.8047978418051545e-07
7 2014.0 -0.00887663 -0.0091084075 -0.008771145 1.3040779606387043e-07 8.526093113972052e-08 1.8353689255006072e-07 -0.009040935 -0.0091204175 -0.008988925 1.3498128369339256e-07 1.0752448469403644e-07 1.8109404654706248e-07
8 2016.0 -0.00888276 -0.00910247 -0.00874991 1.3353431729352116e-07 8.267279318078803e-08 1.8505272752809852e-07 -0.00905185 -0.00912499 -0.008982947500000001 1.341406236954239e-07 1.0890513155364549e-07 1.8735499567614138e-07
9 2018.0 -0.00888633 -0.00910034 -0.008758572499999999 1.331652933446789e-07 8.335443449261486e-08 1.804391789001468e-07 -0.00905776 -0.0091406575 -0.0089826925 1.349689400966405e-07 1.0744642454813198e-07 1.834856927515238e-07
10 2020.0 -0.00888833 -0.009088375 -0.0087636325 1.2910237525760384e-07 7.720700594343435e-08 1.7911909106423045e-07 -0.00905429 -0.00914391 -0.00898448 1.3306789686228034e-07 1.0401781110830691e-07 1.795234428378221e-07
11 2022.0 -0.00888833 -0.009070047500000001 -0.0087453225 1.2943570793604628e-07 7.609291768080246e-08 1.8119363802248723e-07 -0.009050755 -0.0091327075 -0.0089844475 1.3615590095219984e-07 1.0390310096894488e-07 1.797823068520469e-07
12 2024.0 -0.0088894525 -0.0090597175 -0.008727735 1.2672998385306363e-07 7.630528750423071e-08 1.7966861663375728e-07 -0.00906205 -0.0091435975 -0.008963265 1.3362358347980708e-07 1.0464307930039428e-07 1.837838869019839e-07
13 2026.0 -0.008891389999999999 -0.009082305 -0.0087191325 1.2870137939996738e-07 7.561355045097928e-08 1.890417647962314e-07 -0.009062685000000001 -0.0091435975 -0.008950445000000001 1.3538502444059975e-07 9.925294429635529e-08 1.8298093883909945e-07
14 2028.0 -0.00888833 -0.009094587500000001 -0.0087185675 1.2286512778161243e-07 7.483210928119271e-08 1.8678048191502966e-07 -0.009060519999999999 -0.0091435975 -0.008952310000000002 1.3410347522491893e-07 9.835883377946181e-08 1.8547685117766736e-07
15 2030.0 -0.00888833 -0.00907906 -0.00870838875 1.1565890845216042e-07 6.662955186632761e-08 1.882558367761854e-07 -0.009062065 -0.0091410925 -0.0089522025 1.3517251967403265e-07 9.9439838844899e-08 1.8665681087226296e-07
16 2032.0 -0.008873454999999999 -0.0090710125 -0.0087110825 1.126727751664779e-07 6.408350200784257e-08 1.8373976964652888e-07 -0.009059095 -0.0091410925 -0.008954615 1.314406542718258e-07 9.612943440213912e-08 1.85184982955128e-07
17 2034.0 -0.0088513 -0.009071712499999999 -0.0087111725 1.0190423526379376e-07 5.5546504189992423e-08 1.7855598188298342e-07 -0.009048525 -0.009144257499999999 -0.00894746 1.3570753180079488e-07 9.224957506550496e-08 1.849044943633713e-07
18 2036.0 -0.008848607500000001 -0.0090697675 -0.0087089 9.433272377555941e-08 4.867168322708769e-08 1.727559933262448e-07 -0.009048525 -0.009144257499999999 -0.00894786 1.3422600636946732e-07 9.334431942948358e-08 1.8952854262882978e-07
19 2038.0 -0.008846695 -0.00909392 -0.0087056975 9.467907576295125e-08 3.929495226265914e-08 1.8029559053848175e-07 -0.009055959999999998 -0.009156524999999999 -0.0089437425 1.405835413202686e-07 9.330136988875995e-08 1.9309792656363573e-07
20 2040.0 -0.008846695 -0.0090680025 -0.00870755 8.898661463681267e-08 4.136462796473005e-08 1.7289938817126156e-07 -0.009062065 -0.00915429875 -0.0089309975 1.3201835792747748e-07 8.927264871935737e-08 1.8506049798654004e-07
21 2042.0 -0.00886226 -0.0090935925 -0.0087164675 8.029765295206035e-08 4.0334294028160686e-08 1.69977092310873e-07 -0.009064305 -0.0091477925 -0.00893613 1.3152319515323678e-07 8.565036653459516e-08 1.8732718043023144e-07
