	time	range_hot	range_hot_high	range_hot_low	range_cold	range_cold_high	range_cold_low
0	2000	77.0	77.0	77.0	67.0	67.0	67.0
1	2002	77.0	77.0	77.0	67.0	67.0	67.0
2	2004	78.0	78.0	77.0	67.0	67.0	66.0
3	2006	78.0	78.0	78.0	66.0	66.0	66.0
4	2008	78.0	78.0	78.0	66.0	66.0	66.0
5	2010	78.0	78.0	78.0	66.0	66.0	66.0
6	2012	78.0	78.0	78.0	66.0	66.0	66.0
7	2014	78.0	79.0	78.0	66.0	66.0	66.0
8	2016	78.5	79.0	78.0	66.0	66.0	66.0
9	2018	79.0	79.0	78.0	66.0	66.0	66.0
10	2020	79.0	79.0	78.0	66.0	66.0	65.0
11	2022	79.0	79.0	79.0	65.0	66.0	65.0
12	2024	79.0	79.0	79.0	65.0	66.0	65.0
13	2026	79.0	80.0	79.0	65.0	65.0	65.0
14	2028	79.0	80.0	79.0	65.0	65.0	65.0
15	2030	80.0	80.0	79.0	65.0	65.0	65.0
16	2032	80.0	80.0	79.0	65.0	65.0	65.0
17	2034	80.0	80.0	80.0	65.0	65.0	65.0
18	2036	80.0	80.0	80.0	65.0	65.0	65.0
19	2038	80.0	81.0	80.0	65.0	65.0	64.0
20	2040	80.0	81.0	80.0	65.0	65.0	64.0
21	2042	80.5	81.0	80.0	64.0	65.0	64.0
22	2044	81.0	81.0	80.0	64.0	64.25	64.0
23	2046	81.0	81.0	80.0	64.0	64.0	64.0
24	2048	81.0	81.0	80.75	64.0	64.0	64.0
25	2050	81.0	81.0	81.0	64.0	64.0	64.0
26	2052	81.0	82.0	81.0	64.0	64.0	64.0
27	2054	81.0	82.0	81.0	64.0	64.0	64.0
28	2056	82.0	82.0	81.0	64.0	64.0	63.0
29	2058	82.0	82.0	81.0	64.0	64.0	63.0
30	2060	82.0	82.0	81.0	63.5	64.0	63.0
31	2062	82.0	82.25	82.0	63.0	64.0	63.0
32	2064	82.0	83.0	82.0	63.0	64.0	63.0
33	2066	82.0	83.0	82.0	63.0	64.0	63.0
34	2068	82.0	83.0	82.0	63.0	63.0	63.0
35	2070	83.0	83.0	82.0	63.0	63.0	63.0
36	2072	83.0	83.0	82.0	63.0	63.0	63.0
37	2074	83.0	83.0	82.0	63.0	63.0	63.0
38	2076	83.0	84.0	83.0	63.0	63.0	62.0
39	2078	83.0	84.0	83.0	63.0	63.0	62.0
40	2080	83.0	84.0	83.0	63.0	63.0	62.0
41	2082	84.0	84.0	83.0	63.0	63.0	62.0
42	2084	84.0	84.0	83.0	62.0	63.0	62.0
43	2086	84.0	85.0	83.0	62.0	63.0	62.0
44	2088	84.0	85.0	83.0	62.0	62.0	62.0
45	2090	84.0	85.0	84.0	62.0	62.0	62.0
46	2092	84.0	85.0	84.0	62.0	62.0	62.0
47	2094	85.0	85.0	84.0	62.0	62.0	61.0
48	2096	85.0	85.0	84.0	62.0	62.0	61.0
49	2098	85.0	86.0	84.0	62.0	62.0	61.0
50	2100	85.0	86.0	84.75	62.0	62.0	61.0
51	2102	85.0	86.0	85.0	61.5	62.0	61.0
52	2104	85.0	86.0	85.0	61.0	62.0	61.0
53	2106	86.0	86.0	85.0	61.0	62.0	61.0
54	2108	86.0	87.0	85.0	61.0	62.0	61.0
55	2110	86.0	87.0	85.0	61.0	61.25	60.75
56	2112	86.0	87.0	85.0	61.0	61.0	60.0
57	2114	86.0	87.0	86.0	61.0	61.0	60.0
58	2116	87.0	87.0	86.0	61.0	61.0	60.0
59	2118	87.0	87.0	86.0	61.0	61.0	60.0
60	2120	87.0	87.0	86.0	60.0	61.0	60.0
61	2122	87.0	88.0	86.0	60.0	61.0	60.0
62	2124	87.0	88.0	86.0	60.0	61.0	60.0
63	2126	87.0	88.0	87.0	60.0	61.0	60.0
64	2128	88.0	88.0	87.0	60.0	61.0	60.0
65	2130	88.0	88.0	87.0	60.0	60.0	59.0
66	2132	88.0	89.0	87.0	60.0	60.0	59.0
67	2134	88.0	89.0	87.0	60.0	60.0	59.0
68	2136	88.0	89.0	87.0	60.0	60.0	59.0
69	2138	88.0	89.0	87.0	60.0	60.0	59.0
70	2140	88.5	89.0	88.0	59.5	60.0	59.0
71	2142	89.0	89.25	88.0	59.0	60.0	59.0
72	2144	89.0	90.0	88.0	59.0	60.0	59.0
73	2146	89.0	90.0	88.0	59.0	60.0	59.0
74	2148	89.0	90.0	88.75	59.0	60.0	59.0
75	2150	89.0	90.0	89.0	59.0	60.0	58.0
76	2152	90.0	90.25	89.0	59.0	59.0	58.0
77	2154	90.0	91.0	89.0	59.0	59.0	58.0
78	2156	90.0	91.0	89.0	59.0	59.0	58.0
79	2158	90.0	91.0	89.0	59.0	59.0	58.0
