	time	range_hot	range_cold
0	2000	77	67
1	2002	77	67
2	2004	77	67
3	2006	78	66
4	2008	78	66
5	2010	78	66
6	2012	78	66
7	2014	78	66
8	2016	78	66
9	2018	78	66
10	2020	78	66
11	2022	79	66
12	2024	79	66
13	2026	79	65
14	2028	79	65
15	2030	79	65
16	2032	79	65
17	2034	79	65
18	2036	80	65
19	2038	80	65
20	2040	80	65
21	2042	80	65
22	2044	80	64
23	2046	80	65
24	2048	81	64
25	2050	81	64
26	2052	81	64
27	2054	81	64
28	2056	82	64
29	2058	82	64
30	2060	82	64
31	2062	82	64
32	2064	83	64
33	2066	83	64
34	2068	83	64
35	2070	83	63
36	2072	83	63
37	2074	83	63
38	2076	83	63
39	2078	83	63
40	2080	83	63
41	2082	83	63
42	2084	84	63
43	2086	84	63
44	2088	84	63
45	2090	84	62
46	2092	84	62
47	2094	84	62
48	2096	85	62
49	2098	85	62
50	2100	85	62
51	2102	85	61
52	2104	85	61
53	2106	85	61
54	2108	85	61
55	2110	85	61
56	2112	86	61
57	2114	86	61
58	2116	86	60
59	2118	86	60
60	2120	86	60
61	2122	87	60
62	2124	87	60
63	2126	87	60
64	2128	87	60
65	2130	87	60
66	2132	87	60
67	2134	87	60
68	2136	87	59
69	2138	87	59
70	2140	87	59
71	2142	89	59
72	2144	89	59
73	2146	89	59
74	2148	89	59
75	2150	89	59
76	2152	89	59
77	2154	89	59
78	2156	89	58
79	2158	89	58
80	2160	90	58
81	2162	90	58
82	2164	90	58
83	2166	90	58
84	2168	90	58
85	2170	90	58
86	2172	91	58
87	2174	92	58
88	2176	92	58
89	2178	92	58
90	2180	92	57
91	2182	93	57
92	2184	93	57
93	2186	93	57
94	2188	93	57
95	2190	94	57
96	2192	94	57
97	2194	94	57
98	2196	95	56
99	2198	95	56
100	2200	95	56
101	2202	95	56
102	2204	95	56
103	2206	95	56
104	2208	95	56
105	2210	95	56
106	2212	96	55
107	2214	96	55
108	2216	97	55
109	2218	97	55
110	2220	97	55
111	2222	97	55
112	2224	98	55
113	2226	99	55
114	2228	99	54
115	2230	99	54
116	2232	99	54
117	2234	99	54
118	2236	99	54
119	2238	99	54
120	2240	100	54
121	2242	100	54
122	2244	100	54
123	2246	100	54
124	2248	101	54
125	2250	101	54
126	2252	101	54
127	2254	101	54
128	2256	101	54
129	2258	101	54
130	2260	101	53
131	2262	101	53
132	2264	101	53
133	2266	101	53
134	2268	101	53
135	2270	101	53
136	2272	101	53
137	2274	101	52
138	2276	101	52
139	2278	101	52
140	2280	101	52
141	2282	101	51
142	2284	102	51
143	2286	102	51
144	2288	103	51
145	2290	103	51
146	2292	103	51
147	2294	103	51
148	2296	103	50
149	2298	104	50
150	2300	104	50
151	2302	105	50
152	2304	105	50
153	2306	105	50
154	2308	105	50
155	2310	106	50
156	2312	106	49
157	2314	107	49
158	2316	108	49
159	2318	108	49
160	2320	109	48
161	2322	109	48
162	2324	109	48
163	2326	110	48
164	2328	110	48
165	2330	111	48
166	2332	112	47
167	2334	112	47
168	2336	113	47
169	2338	114	47
170	2340	115	47
171	2342	115	46
172	2344	116	46
173	2346	117	44
174	2348	117	45
175	2350	118	44
176	2352	118	44
177	2354	118	44
178	2356	119	44
179	2358	119	44
180	2360	121	43
181	2362	125	43
182	2364	130	41
183	2366	132	41
